trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",25,0,-35.659713602383576,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",35,13,-38.93541474975456,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",35,22,24.77601887981226,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,2,-18.23440127829676,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",25,4,33.279133673715165,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",20,0,-11.509792815311252,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",20,9,20.30792146461392,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151243}",35,8,19.073886442995555,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.0984770902183612}",30,20,14.543077688833424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652508}",35,1,-52.43811246116318,"{0: 30, 1: 1, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.07976644307687257}",25,14,19.93106644011914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.07178979876918531}",25,0,24.846945645729562,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.06461081889226679}",20,9,8.350488958920307,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.05814973700304011}",20,13,1.7869139415811348,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0523347633027361}",20,16,8.660430030534314,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.04710128697246249}",25,0,-9.071177785131592,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.042391158275216244}",20,0,28.958983491757227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.03815204244769462}",25,7,-9.112060401821157,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.03433683820292516}",20,9,-27.02199246457236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.030903154382632643}",25,0,36.57605488104131,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.02781283894436938}",20,0,17.27690638897286,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.025031555049932444}",25,10,26.58988344014071,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.0225283995449392}",25,13,22.940008612101266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
